"URAU_CODE","agegroup","v11","v21","v31","v41","v51","v22","v32","v42","v52","v33","v43","v53","v44","v54","v55"
"AT005C","45-64",0.0237825554913655,0.0177221893398137,0.0201760132480782,0.0199378211310005,0.0289947872898648,0.015710499425852,0.0169025995481593,0.0167538886180463,0.023160268087185,0.0193547795580836,0.0184113630066043,0.0264858856994173,0.0214284062703404,0.0231353957081323,0.0616238408317569
"AT005C","65-74",0.021966426539973,0.0162527649233778,0.0185556707762152,0.0184274250959664,0.027205564867818,0.0144151768753984,0.0155468183404924,0.0154449823165838,0.0217195061596902,0.0178161597255922,0.0170027471985131,0.0247640671187427,0.0198265109703541,0.0220930380249803,0.057528083031582
"AT005C","75-84",0.0214310336356354,0.0158181016955107,0.0180770599612137,0.0179812357330053,0.0266770748436094,0.0140311674463551,0.0151452023346927,0.0150572348855241,0.0212931414838476,0.0173609570998101,0.0165859066203342,0.0242540219384739,0.019355457285428,0.0217821034540556,0.0563126285599329
"AT005C","85+",0.0218565309408677,0.0161592025993562,0.0184546823479917,0.0183331190341167,0.027094063289033,0.01433004017788,0.015458703823959,0.0153598610617122,0.021627203327128,0.0177179682863315,0.0169125386880663,0.0246521637480343,0.0197332976303074,0.0220184980248829,0.0572550122644452
"AT006C","20-44",0.0280319969405608,0.0211518135037665,0.0239157077893995,0.0235931257732988,0.0339319778104019,0.01865132238872,0.0199825211883032,0.019869801128056,0.0271549418657352,0.0227623264951856,0.0217163932524363,0.0310232579382865,0.025157984242785,0.0267473375106425,0.0714823403433374
"AT006C","45-64",0.0212933790298147,0.0157068207490121,0.0179084886082254,0.0179939025819857,0.027308025859047,0.0138568823514259,0.0149633322865851,0.015024199608462,0.0218262683318539,0.0170631744926782,0.0164993110156833,0.0246563683780121,0.0192093462501801,0.0229148484696595,0.0563276843458614
"AT006C","65-74",0.0195021655489672,0.0142586245826054,0.0163112629824236,0.0165051587017322,0.0255494116663706,0.0125815837017015,0.0136285910613014,0.0137356023777868,0.0204114516387163,0.0155478631503591,0.0151121280274269,0.0229652749744555,0.0176290298023803,0.0218988165141786,0.0522956818134089
"AT006C","75-84",0.019008402040479,0.0138585233849046,0.0158705220188462,0.0160943544682692,0.0250668745459379,0.0122291136385974,0.0132600507576062,0.0133797843697162,0.0200231519986274,0.0151297300111226,0.0147293017427245,0.0225004947054256,0.0171943635959831,0.0216215858914174,0.0511803200653215
"AT006C","85+",0.0194638051823201,0.0142248097849974,0.0162756405237605,0.0164719622808158,0.0255187714033158,0.0125513789817923,0.013598102685884,0.0137061094373077,0.020386502454678,0.0155140809792252,0.0150810495984207,0.0229333979733436,0.0175982005932462,0.0218859828709285,0.0521970911962906
"BE001C","20-44",0.021433296846418,0.0162101547595547,0.0182955301504461,0.0180863878956433,0.0254691078416085,0.0143789320926679,0.0153990043885203,0.0152306494466518,0.0203046606087241,0.0175083949800517,0.0166281433306266,0.0232339371047231,0.0193328119916717,0.01986115846712,0.0547543635988228
