year,scenario,ramp_factor,ac_penalty,deaths_on_warning_days,gross_avoided_deaths,net_avoided_deaths,life_years_saved,warning_days,cost_total,cost_pv,gross_<15,gross_15-64,gross_65+,net_<15,net_15-64,net_65+,lys_<15,lys_15-64,lys_65+
2021,high,0.15,0.8357752656936646,82.07153966938303,1.6938678761670365,1.0558589560516631,14.726295450894902,29.3,109109.370813765,105931.42797452911,0.0,0.19769115175720622,1.4961767244098303,0.0,0.15815292140576498,0.8977060346458982,0.0,3.9538230351441244,10.772472415750778
2022,high,1.0,0.8344264101982116,86.3501858572513,11.896057298438127,7.405999456670001,102.8269775156105,30.6,759411.4171644001,715818.0951686306,0.0,1.3418253880356223,10.554231910402505,0.0,1.0734603104284979,6.332539146241503,0.0,26.836507760712447,75.99046975489804
2023,high,1.0,0.8330775547027588,90.62883204511957,12.497651706082413,7.77171615748603,107.46310084933461,31.9,791405.1139379,724247.7891897062,0.0,1.3656256691829085,11.132026036899505,0.0,1.0925005353463269,6.679215622139703,0.0,27.31251338365817,80.15058746567644
2024,high,1.0,0.8317286992073059,94.90747823298784,13.097235730713109,8.13620980945918,112.08367300713844,33.2,823376.8957456002,731559.7074229922,0.0,1.3893418551565666,11.707893875556543,0.0,1.1114734841252534,7.024736325333926,0.0,27.786837103131333,84.29683590400711
2025,high,1.0,0.830379843711853,99.18612442085612,13.694809372330205,8.499480412589442,116.68869398902193,34.5,855326.7625875,737812.3789268458,0.0,1.4129739459565973,12.281835426373608,0.0,1.130379156765278,7.369101255824164,0.0,28.259478919131947,88.42921506988998
2026,high,1.0,0.8290309882164002,103.4647706087244,14.290372630933707,8.861527966876825,121.27816379498509,35.8,887254.7144636,743061.8550316159,0.0,1.436521941583,12.853850689350708,0.0,1.1492175532664,7.712310413610425,0.0,28.73043883166,92.5477249633251
2027,high,1.0,0.8276821327209473,107.74341679659267,14.883925506523614,9.222352472321322,125.85208242502793,37.1,919160.7513739001,747361.804502097,0.0,1.4599858420357748,13.42393966448784,0.0,1.1679886736286198,8.054363798692703,0.0,29.199716840715496,96.65236558431243
2028,high,1.0,0.8263332772254943,112.02206298446094,15.475467999099923,9.581953928922939,130.41044987915043,38.4,951044.8733184,750763.6052444719,0.0,1.4833656473149217,13.992102351785002,0.0,1.1866925178519374,8.395261411071,0.0,29.667312946298434,100.74313693285201
2029,high,1.0,0.8249844217300415,116.3007091723292,16.06500010866264,9.940332336681672,134.95326615735266,39.7,982907.0802971001,753316.4326787181,0.0,1.5066613574204406,14.558338751242202,0.0,1.2053290859363526,8.73500325074532,0.0,30.133227148408814,104.82003900894384
2030,high,1.0,0.8236355662345887,120.57935536019748,16.65252183521176,10.297487695597525,139.48053125963455,41.0,1014747.37231,755067.3448933124,0.0,1.5298729723523319,15.12264886285943,0.0,1.2238983778818655,9.073589317715658,0.0,30.59745944704664,108.8830718125879
2031,high,1.0,0.8233710348606109,124.73981710988684,17.274379627452706,10.667854723202536,143.78205790843785,42.0,1037188.7817060001,749287.2437539634,0.0,1.5161347336545608,15.758244893798146,0.0,1.2129077869236486,9.454946936278887,0.0,30.322694673091217,113.45936323534664
2032,high,1.0,0.8231065034866333,128.9002788595762,17.895834404034854,11.037981643787298,148.08079179649962,43.0,1059520.2612680001,743126.1939101772,0.0,1.502405006831928,16.393429397202926,0.0,1.2019240054655425,9.836057638321755,0.0,30.04810013663856,118.03269165986106
2033,high,1.0,0.8228419721126556,133.06074060926557,18.5168861649582,11.407868457351807,152.3767329238198,44.0,1081741.8109960002,736613.5357243728,0.0,1.4886837918844331,17.028202373073768,0.0,1.1909470335075465,10.21692142384426,0.0,29.773675837688664,122.60305708613112
2034,high,1.0,0.822577440738678,137.2212023589549,19.137534910222744,11.77751516389606,156.66988129039834,45.0,1103853.43089,729777.1581753512,0.0,1.4749710888120768,17.662563821410668,0.0,1.1799768710496614,10.5975382928464,0.0,29.499421776241537,127.17045951415679
2035,high,1.0,0.8223129093647004,141.38166410864426,19.757780639828493,12.146921763420067,160.96023689623533,46.0,1125855.1209500001,722643.5604195339,0.0,1.4612668976148586,18.296513742213634,0.0,1.169013518091887,10.97790824532818,0.0,29.225337952297174,131.73489894393816
2036,high,1.0,0.8220483779907226,145.54212585833363,20.377623353775434,12.516088255923815,165.2477997413307,47.0,1147746.8811760002,715237.9109418798,0.0,1.4475712182927785,18.930052135482654,0.0,1.1580569746342229,11.358031281289593,0.0,28.951424365855573,136.29637537547512
2037,high,1.0,0.821783846616745,149.70258760802298,20.99706305206358,12.885014641407317,169.53256982568448,48.0,1169528.711568,707584.1043862855,0.0,1.4338840508458364,19.563179001217744,0.0,1.1471072406766691,11.737907400730647,0.0,28.67768101691673,140.85488880876775
2038,high,1.0,0.8215193152427673,153.86304935771233,21.61609973469292,13.253700919870559,173.81454714929666,49.0,1191200.612126,699704.816152027,0.0,1.420205395274033,20.19589433941889,0.0,1.1361643162192265,12.117536603651333,0.0,28.404107905480664,145.410439243816
2039,high,1.0,0.8212547838687897,158.0235111074017,22.234733401663465,13.622147091313552,178.09373171216723,50.0,1212762.5828500001,691621.554839694,0.0,1.4065352515773675,20.8281981500861,0.0,1.125228201261894,12.496918890051658,0.0,28.130705031547347,149.9630266806199
2040,high,1.0,0.8209902524948121,162.18397285709105,22.852964052975214,13.990353155736297,182.37012351429632,51.0,1234214.6237400002,683354.7126270477,0.0,1.39287361975584,21.460090433219374,0.0,1.114298895804672,12.876054259931625,0.0,27.8574723951168,154.5126511191795
2041,high,1.0,0.8188714385032654,164.65375741127713,23.187938759820497,14.183140229322484,184.25728537023937,51.7,1248543.0055483002,671153.3885738136,0.0,1.35188486715092,21.83605389266958,0.0,1.081507893720736,13.101632335601748,0.0,27.0376973430184,157.21958802722096
2042,high,1.0,0.8167526245117187,167.12354196546318,23.520874771514848,14.374742788339585,186.1322455824702,52.4,1262800.6611192,659046.195147681,0.0,1.3110896271533852,22.20978514436146,0.0,1.0488717017227083,13.325871086616877,0.0,26.221792543067707,159.9104530394025
2043,high,1.0,0.8146338105201721,169.59332651964925,23.851772088058265,14.565160832787605,187.99500415098893,53.1,1276987.5904527,647039.0749295008,0.0,1.270487899763236,22.58128418829503,0.0,1.0163903198105888,13.548770512977017,0.0,25.40975799526472,162.5852461557242
2044,high,1.0,0.8125149965286255,172.06311107383533,24.18063070945075,14.754394362666545,189.84556107579544,53.8,1291103.7935488,635137.5131625752,0.0,1.2300796849804718,22.95055102447028,0.0,0.9840637479843775,13.770330614682168,0.0,24.601593699609438,165.24396737618602
